Date,Sales
2023-01-01,5089709.4
2023-02-01,3882521.26
2023-03-01,4074387.54
2023-04-01,866478.0
2023-05-01,906574.16
2023-06-01,9313288.91
2023-07-01,1358072.85
2023-08-01,2948647.03
2023-09-01,343102.24
2023-10-01,1573242.92
2023-11-01,5178557.19
2023-12-01,1197364.13
2024-01-01,2332026.89
2024-02-01,1086488.81
2024-03-01,491719.09
2024-04-01,4186175.84
2024-05-01,3193669.72
2024-06-01,2779902.83
2024-07-01,326844.26
2024-08-01,444451.94
2024-09-01,4849115.4
2024-10-01,2434230.2
2024-11-01,1732790.96
2024-12-01,462843.13
2025-01-01,1393768.78
2025-02-01,5282623.36
2025-03-01,4164193.01
2025-04-01,3937135.05
2025-05-01,415202.64
2025-06-01,1455507.59
2025-07-01,5059268.07
2025-08-01,2547071.37
2025-09-01,2740591.7
2025-10-01,596427.12
2025-11-01,969837.65
2025-12-01,3998369.15
2026-01-01,2161656.05
2026-02-01,2001049.28
2026-03-01,465806.25
2026-04-01,556832.89
2026-05-01,9283187.9
2026-06-01,4694788.67
2026-07-01,1377354.29
2026-08-01,350000.3
2026-09-01,1153875.67
2026-10-01,4336198.17
2026-11-01,3936150.68
2026-12-01,1092020.19
2027-01-01,338066.21
2027-02-01,671489.89
2027-03-01,2750415.27
2027-04-01,5719964.09
2027-05-01,760468.16
2027-06-01,525879.7
2027-07-01,1719711.88
2027-08-01,4997043.39
2027-09-01,3466938.92
2027-10-01,1773906.53
2027-11-01,572254.22
2027-12-01,1130117.7
2028-01-01,6512616.18
2028-02-01,1666563.93
2028-03-01,2614121.83
2028-04-01,676551.65
2028-05-01,975022.27
2028-06-01,10213509.82
2028-07-01,2227110.0
2028-08-01,3552235.36
2028-09-01,260184.84
2028-10-01,1192389.29
2028-11-01,3683149.79
2028-12-01,1775399.35
2029-01-01,2427400.59
2029-02-01,924972.28
2029-03-01,478404.38
2029-04-01,4100686.86
2029-05-01,6156785.26
2029-06-01,5332566.6
2029-07-01,565402.84
2029-08-01,505070.62
2029-09-01,6854474.89
2029-10-01,6725600.54
2029-11-01,2390250.58
2029-12-01,165019.09
2030-01-01,414340.91
2030-02-01,5756780.75
2030-03-01,1492538.32
2030-04-01,2373848.11
2030-05-01,812423.86
2030-06-01,473865.75
2030-07-01,9827461.0
2030-08-01,2233777.36
2030-09-01,2873852.92
2030-10-01,304815.18
2030-11-01,1006469.04
2030-12-01,8899266.03
2031-01-01,5811998.84
2031-02-01,1379472.76
2031-03-01,807610.05
2031-04-01,2431841.69
2031-05-01,4279447.17
2031-06-01,3732805.58
2031-07-01,2682837.25
2031-08-01,613526.16
2031-09-01,692629.6
2031-10-01,5199511.44
2031-11-01,4793940.98
2031-12-01,1295627.28
2032-01-01,652555.01
2032-02-01,1359264.6
2032-03-01,5576869.03
2032-04-01,2109180.75
2032-05-01,3481929.68
2032-06-01,562691.27
2032-07-01,632751.0
2032-08-01,6010973.88
2032-09-01,1567725.78
2032-10-01,4559723.98
2032-11-01,610824.27
2032-12-01,519427.57
