Date,Product,Region,Customers,Marketing_Spend,Discount_Percent,Avg_Product_Price,Sales
2023-01-01,Laptop,North,182,24913.57,6.22,58076.6,5089709.4
2023-02-01,Smartphone,West,294,6452.09,21.92,28566.24,3882521.26
2023-03-01,Tablet,East,337,23049.97,23.59,19803.43,4074387.54
2023-04-01,Headphones,South,393,18118.91,11.93,4312.11,866478.0
2023-05-01,Smartwatch,North,267,14159.05,12.49,9513.32,906574.16
2023-06-01,Laptop,West,399,16669.07,21.78,56983.38,9313288.91
2023-07-01,Smartphone,East,168,29140.8,20.59,26905.84,1358072.85
2023-08-01,Tablet,South,343,,22.91,20938.63,2948647.03
2023-09-01,Headphones,North,133,18667.76,6.25,4922.63,343102.24
2023-10-01,Smartwatch,West,349,23181.8,9.51,9126.8,1573242.92
2023-11-01,Laptop,East,292,14716.93,8.24,58616.11,5178557.19
2023-12-01,Smartphone,South,120,12406.84,5.8,25287.56,1197364.13
2024-01-01,Tablet,North,215,5138.05,20.76,22910.17,2332026.89
2024-02-01,Headphones,West,340,28157.52,16.97,4873.46,1086488.81
2024-03-01,Smartwatch,East,112,6588.96,9.15,8685.33,491719.09
2024-04-01,Laptop,South,114,16805.37,4.75,57345.69,4186175.84
2024-05-01,Smartphone,North,334,11401.71,2.93,29179.71,3193669.72
2024-06-01,Tablet,West,258,5785.73,16.64,21183.17,2779902.83
2024-07-01,Headphones,East,310,15259.57,19.38,4255.92,326844.26
2024-08-01,Smartwatch,South,165,27011.7,16.36,8632.14,444451.94
2024-09-01,Laptop,North,187,9664.25,22.53,55432.76,4849115.4
2024-10-01,Smartphone,West,310,27670.71,8.26,28827.06,2434230.2
2024-11-01,Tablet,East,338,5173.8,13.75,21636.61,1732790.96
2024-12-01,Headphones,South,251,11103.14,5.87,4246.89,462843.13
2025-01-01,Smartwatch,North,397,29294.55,24.14,8553.21,1393768.78
2025-02-01,Laptop,West,192,29943.51,8.14,60242.76,5282623.36
2025-03-01,Smartphone,East,303,27706.65,7.51,26011.41,4164193.01
2025-04-01,Tablet,South,326,21803.39,19.52,20845.61,3937135.05
2025-05-01,Headphones,North,177,20838.24,14.32,4131.26,415202.64
2025-06-01,Smartwatch,West,405,22395.32,21.74,8686.73,1455507.59
2025-07-01,Laptop,East,226,13716.65,4.21,59845.76,5059268.07
2025-08-01,Smartphone,South,208,21892.25,18.91,26370.8,2547071.37
2025-09-01,Tablet,North,342,21499.6,20.8,22242.88,2740591.7
2025-10-01,Headphones,West,383,29135.48,14.84,4844.37,596427.12
2025-11-01,Smartwatch,East,226,23148.89,22.63,9696.76,969837.65
2025-12-01,Laptop,South,154,28390.87,20.06,56858.87,3998369.15
2026-01-01,Smartphone,North,178,29341.6,8.53,26910.04,2161656.05
2026-02-01,Tablet,West,248,9398.13,2.42,21973.13,2001049.28
2026-03-01,Headphones,East,214,23023.5,9.09,4538.29,465806.25
2026-04-01,Smartwatch,South,101,11099.74,24.38,8807.58,556832.89
2026-05-01,Laptop,North,305,13751.96,16.84,56858.16,9283187.9
2026-06-01,Smartphone,West,383,12019.31,2.56,,4694788.67
2026-07-01,Tablet,East,125,27871.61,10.51,19868.01,1377354.29
2026-08-01,Headphones,South,260,19307.31,24.55,4117.81,350000.3
2026-09-01,Smartwatch,North,240,12923.05,5.9,9102.24,1153875.67
2026-10-01,Laptop,West,253,7429.41,16.15,60390.59,4336198.17
2026-11-01,Smartphone,East,352,26216.74,5.14,29169.9,3936150.68
2026-12-01,Tablet,South,105,25252.83,21.94,23818.26,1092020.19
2027-01-01,Headphones,North,252,9856.85,3.63,4407.11,338066.21
2027-02-01,Smartwatch,West,222,14389.57,4.16,9140.9,671489.89
2027-03-01,Laptop,East,142,29546.02,21.3,58964.45,2750415.27
2027-04-01,Smartphone,South,350,14004.77,4.92,28124.56,5719964.09
2027-05-01,Tablet,North,84,16431.63,21.37,20655.27,760468.16
2027-06-01,Headphones,West,387,8318.64,24.3,4693.14,525879.7
2027-07-01,Smartwatch,East,354,15974.29,3.8,8145.63,1719711.88
2027-08-01,Laptop,South,208,9332.36,5.6,52252.67,4997043.39
2027-09-01,Smartphone,North,316,11998.35,23.96,29332.22,3466938.92
2027-10-01,Tablet,West,326,6192.9,15.02,20498.04,1773906.53
2027-11-01,Headphones,East,299,6150.07,2.94,4819.91,572254.22
2027-12-01,Smartwatch,South,297,24084.11,20.56,8723.35,1130117.7
2028-01-01,Laptop,North,329,20396.25,16.61,49998.34,6512616.18
2028-02-01,Smartphone,West,175,26412.25,17.15,26112.43,1666563.93
2028-03-01,Tablet,East,239,28505.76,15.24,21507.95,2614121.83
2028-04-01,Headphones,South,258,25515.99,16.4,4788.38,676551.65
2028-05-01,Smartwatch,North,364,6734.03,4.32,8132.8,975022.27
2028-06-01,Laptop,West,416,21393.07,10.86,56997.75,10213509.82
2028-07-01,Smartphone,East,275,22322.26,10.01,30445.23,2227110.0
2028-08-01,Tablet,South,328,18699.3,11.74,22301.49,3552235.36
2028-09-01,Headphones,North,115,14300.45,19.86,4356.72,260184.84
2028-10-01,Smartwatch,West,262,23771.78,19.35,8285.62,1192389.29
2028-11-01,Laptop,East,296,13001.24,22.6,53781.22,3683149.79
2028-12-01,Smartphone,South,155,13872.63,24.01,28989.91,1775399.35
2029-01-01,Tablet,North,223,16211.14,8.74,21246.12,2427400.59
2029-02-01,Headphones,West,230,24532.4,4.61,4887.84,924972.28
2029-03-01,Smartwatch,East,201,16038.26,22.42,8731.65,478404.38
2029-04-01,Laptop,South,153,25924.1,21.94,58723.29,4100686.86
2029-05-01,Smartphone,North,362,22656.06,3.87,25675.09,6156785.26
2029-06-01,Tablet,West,400,27009.0,7.44,23793.85,5332566.6
2029-07-01,Headphones,East,331,7087.52,19.87,4552.56,565402.84
2029-08-01,Smartwatch,South,118,15861.3,7.83,8829.36,505070.62
2029-09-01,Laptop,North,396,25569.76,19.12,56991.43,6854474.89
2029-10-01,Smartphone,West,391,18209.25,12.04,29691.81,6725600.54
2029-11-01,Tablet,East,382,27278.58,14.14,24169.05,2390250.58
2029-12-01,Headphones,South,99,6885.86,5.82,4245.13,165019.09
2030-01-01,Smartwatch,North,133,19607.86,22.73,8181.8,414340.91
2030-02-01,Laptop,West,235,13391.5,5.9,56615.33,5756780.75
2030-03-01,Smartphone,East,107,6943.37,24.41,30722.78,1492538.32
2030-04-01,Tablet,South,291,20069.55,8.23,20386.01,2373848.11
2030-05-01,Headphones,North,335,19529.07,23.14,4124.47,812423.86
2030-06-01,Smartwatch,West,84,5659.17,10.66,9559.0,473865.75
2030-07-01,Laptop,East,361,14522.27,24.31,58763.31,9827461.0
2030-08-01,Smartphone,South,178,8346.3,2.31,25622.01,2233777.36
2030-09-01,Tablet,North,212,29915.92,14.77,23183.54,2873852.92
2030-10-01,Headphones,West,224,11027.12,6.72,4276.3,304815.18
2030-11-01,Smartwatch,East,367,6172.41,8.18,8139.93,1006469.04
2030-12-01,Laptop,South,338,18004.09,21.6,55570.98,8899266.03
2031-01-01,Smartphone,North,392,19748.9,13.04,27555.0,5811998.84
2031-02-01,Tablet,West,154,10324.1,5.14,19864.0,1379472.76
2031-03-01,Headphones,East,365,18870.39,4.09,4703.76,807610.05
2031-04-01,Smartwatch,South,414,14913.57,16.31,9652.25,2431841.69
2031-05-01,Laptop,North,263,26052.29,19.69,50228.6,4279447.17
2031-06-01,Smartphone,West,284,10228.27,15.33,27112.75,3732805.58
2031-07-01,Tablet,East,415,8797.57,5.19,22619.85,2682837.25
2031-08-01,Headphones,South,274,26857.94,13.85,4925.8,613526.16
2031-09-01,Smartwatch,North,356,9223.38,8.41,8418.62,692629.6
2031-10-01,Laptop,West,312,13899.79,22.57,50916.23,5199511.44
2031-11-01,Smartphone,East,361,24985.26,16.44,25657.85,4793940.98
2031-12-01,Tablet,South,140,5064.88,21.97,20171.87,1295627.28
2032-01-01,Headphones,North,382,14261.8,13.14,4606.43,652555.01
2032-02-01,Smartwatch,West,233,5917.08,7.81,9384.03,1359264.6
2032-03-01,Laptop,East,318,5761.8,21.95,53395.61,5576869.03
2032-04-01,Smartphone,South,198,14432.1,2.46,27003.64,2109180.75
